action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,,,kv_cache,,30.5,0.305,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:52:34.872Z,
,,,kv_cache,,36.0,0.36,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:52:34.872Z,
,,,kv_cache,,,,,,,,2025-12-09T20:52:34.872Z,
scale-down,,4,scaling_decision,,,,,,,3,2025-12-09T20:52:34.874Z,
,30.0,,metrics,13.67,,,,,3,,2025-12-09T20:53:34.897Z,27.48
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:53:34.898Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:53:34.898Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:53:34.898Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:53:34.898Z,
,,,queue,,,,,,,,2025-12-09T20:53:34.898Z,
,,,kv_cache,,18.7,0.187,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:53:34.898Z,
,,,kv_cache,,11.9,0.119,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:53:34.898Z,
,,,kv_cache,,20.1,0.201,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:53:34.898Z,
,,,kv_cache,,20.3,0.203,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:53:34.898Z,
,,,kv_cache,,,,,,,,2025-12-09T20:53:34.898Z,
no-change,,3,scaling_decision,,,,,,,3,2025-12-09T20:53:34.900Z,
,30.0,,metrics,0.0,,,,,3,,2025-12-09T20:54:34.926Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:54:34.927Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:54:34.927Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:54:34.927Z,
,,,queue,,,,,,,,2025-12-09T20:54:34.927Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:54:34.928Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:54:34.928Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:54:34.928Z,
,,,kv_cache,,,,,,,,2025-12-09T20:54:34.928Z,
scale-down,,3,scaling_decision,,,,,,,2,2025-12-09T20:54:34.929Z,
