action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:03:15.904Z,,
,20.0,,metrics,54.07,,,,,,2,,,,2025-11-28T02:03:15.917Z,,87.37
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:03:15.918Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:03:15.918Z,,
,,,kv_cache,,89.7,0.897,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:03:15.918Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:03:15.918Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:15.918Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:15.918Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:03:15.918Z,,
,20.0,,metrics,47.7,,,,,,2,,,,2025-11-28T02:03:45.933Z,,77.24
,,,kv_cache,,89.7,0.897,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:03:45.934Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:03:45.934Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:03:45.934Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:03:45.934Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:45.934Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:45.934Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:03:45.934Z,,
,20.0,,metrics,47.7,,,,,,2,,,,2025-11-28T02:03:45.948Z,,77.24
,,,kv_cache,,89.7,0.897,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:03:45.949Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:03:45.949Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:03:45.949Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:03:45.949Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:45.950Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:45.950Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:03:45.950Z,,
,20.0,,metrics,38.85,,,,,,2,,,,2025-11-28T02:04:15.957Z,,64.21
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f994t2p,0,,,,,2025-11-28T02:04:15.959Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:04:15.959Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:04:15.959Z,,
,,,kv_cache,,11.0,0.11,,ms-inference-scheduling-llm-d-modelservice-decode-789945f994t2p,,,,,,2025-11-28T02:04:15.959Z,,
,,,kv_cache,,70.7,0.707,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:04:15.959Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:04:15.959Z,,
